"","BBL","tot_A","lng","lat"
"1","1",184,-18.1714227328708,10.0098264624899
"2","1000000000",3,-73.9958088296788,40.7525131256572
"3","1000010010",0,-74.019623706393,40.691053563611
"4","1000020001",8,-74.012082262183,40.7014696430287
"5","1000020002",3,-74.011631125861,40.701687901075
"6","1000030001",1,-74.015689250714,40.704885075809
"7","1000047501",8,-74.012561775828,40.702533192425
"8","1000057501",2,-74.011248902165,40.702105144441
"9","1000070027",1,-74.010928083357,40.703115251235
"10","1000070028",1,-74.011029064387,40.703087793856
"11","1000070031",1,-74.011508734789,40.70302461698
"12","1000070033",1,-74.01157010716,40.703367707178
"13","1000070035",1,-74.011375369188,40.703488496585
"14","1000070038",1,-74.011151766666,40.70354615874
"15","1000077501",2,-74.0107946973863,40.7034766585503
"16","1000077502",1,-74.011079636841,40.703565379129
"17","1000080039",1,-74.01242124845,40.703227634813
"18","1000080051",1,-74.012201153494,40.702736344428
"19","1000090029",2,-74.014399517938,40.703368759145
"20","1000100001",1,-74.011606197564,40.703504942078
"21","1000100015",1,-74.013084924852,40.703510272406
"22","1000100016",5,-74.011743332934,40.703972087966
"23","1000100019",0,-74.012533121453,40.703584442864
"24","1000100033",0,-74.012637796938,40.704018105174
"25","1000110001",3,-74.013186030396,40.704111365647
"26","1000110007",1,-74.01237468801,40.704976058861
"27","1000110009",1,-74.012280912036,40.704970579402
"28","1000110010",1,-74.012187136077,40.704965099866
"29","1000110011",1,-74.012089753905,40.704962365404
"30","1000110012",1,-74.011995977974,40.704956885712
"31","1000110017",1,-74.011570329533,40.704644025595
"32","1000110021",3,-74.011581092226,40.704314652019
"33","1000110026",0,-74.011588259152,40.704048408527
"34","1000117501",1,-74.012067943443,40.704026400878
"35","1000130001",1,-74.014098662599,40.704778236358
"36","1000130005",2,-74.013730894799,40.70534644851
"37","1000160001",3,-74.0162941104213,40.7103242109483
"38","1000160010",1,-74.018001408698,40.705798744741
"39","1000160100",1,-74.015892767639,40.7113215335315
"40","1000160120",3,-74.015441905792,40.711417662063
"41","1000160125",15,-74.015672785414,40.711530166285
"42","1000160140",2,-74.015493110018,40.714439645901
"43","1000160150",8,-74.0156695228059,40.714518396793
"44","1000160205",1,-74.014166271112,40.717376719719
"45","1000160260",4,-74.0140113857647,40.7141921205912
"46","1000167509",1,-74.017630523853,40.708107154177
"47","1000167512",9,-74.0158492435675,40.7148565267619
"48","1000167514",1,-74.01596384541,40.706896954675
"49","1000167518",1,-74.016624578288,40.709622417413
