"time","man","bro","brx","qns","si"
2019-09-10 07:00:00,134,1302,1968,2178,0
2019-09-10 07:15:00,152,1277,1995,2308,0
2019-09-10 07:30:00,115,1650,2191,2317,0
2019-09-10 07:45:00,112,1823,2166,2250,0
2019-09-10 08:00:00,123,1886,2148,1944,0
2019-09-10 08:15:00,185,1713,2112,1854,0
2019-09-10 08:30:00,139,1657,2239,1766,0
2019-09-10 08:45:00,153,1502,2109,1727,0
2019-09-10 09:00:00,123,1362,1999,1550,0
2019-09-10 09:15:00,139,1287,1901,1495,0
2019-09-10 09:30:00,131,1226,1752,1399,0
2019-09-10 09:45:00,99,1163,1780,1201,0
2019-09-11 07:00:00,133,2233,2085,1971,0
2019-09-11 07:15:00,124,2532,2066,2260,0
2019-09-11 07:30:00,156,3001,2315,2456,0
2019-09-11 07:45:00,149,3237,2465,2204,0
2019-09-11 08:00:00,181,3194,2383,2061,0
2019-09-11 08:15:00,148,3092,2259,2109,0
2019-09-11 08:30:00,146,2692,2307,1797,0
2019-09-11 08:45:00,144,2620,2344,1833,0
2019-09-11 09:00:00,111,2181,2219,1576,0
2019-09-11 09:15:00,115,2253,2235,1469,0
2019-09-11 09:30:00,100,2086,2154,1402,0
2019-09-11 09:45:00,121,1964,2307,1276,0
2019-09-12 07:00:00,147,2250,2041,2093,0
2019-09-12 07:15:00,97,2318,2100,2274,0
2019-09-12 07:30:00,118,2944,2455,2345,0
2019-09-12 07:45:00,156,3132,2480,2222,0
2019-09-12 08:00:00,167,2918,2574,2080,0
2019-09-12 08:15:00,146,2842,2340,2054,0
2019-09-12 08:30:00,127,2747,2290,1807,0
2019-09-12 08:45:00,118,2412,2260,1792,0
2019-09-12 09:00:00,158,2301,2200,1713,0
2019-09-12 09:15:00,143,2243,2037,1432,0
2019-09-12 09:30:00,128,2085,2083,1367,0
2019-09-12 09:45:00,125,1885,2001,1257,0
2019-09-13 07:00:00,147,1766,2000,2086,0
2019-09-13 07:15:00,138,1846,1966,2231,0
2019-09-13 07:30:00,186,2387,2296,2416,0
2019-09-13 07:45:00,181,2385,2490,2204,0
2019-09-13 08:00:00,203,2384,2420,1924,0
2019-09-13 08:15:00,185,2560,2219,1975,0
2019-09-13 08:30:00,209,2377,2205,1881,0
2019-09-13 08:45:00,168,2238,2065,1792,0
2019-09-13 09:00:00,115,2021,2020,1567,0
2019-09-13 09:15:00,135,1945,1899,1470,0
2019-09-13 09:30:00,95,1905,2238,1291,0
2019-09-13 09:45:00,107,1765,1969,1203,0
2019-09-14 07:00:00,109,715,1134,608,0
2019-09-14 07:15:00,88,743,1149,661,0
2019-09-14 07:30:00,114,1006,1233,753,0
2019-09-14 07:45:00,98,1090,1371,843,0
2019-09-14 08:00:00,94,1058,1453,867,0
2019-09-14 08:15:00,106,1204,1382,787,0
2019-09-14 08:30:00,107,1327,1553,812,0
2019-09-14 08:45:00,109,1431,1790,915,0
2019-09-14 09:00:00,84,1407,1642,914,0
2019-09-14 09:15:00,102,1444,1833,949,0
2019-09-14 09:30:00,85,1663,1887,932,0
2019-09-14 09:45:00,89,1707,1870,1087,0
2019-09-15 07:00:00,45,319,746,543,0
2019-09-15 07:15:00,63,388,835,569,0
2019-09-15 07:30:00,54,524,872,853,0
2019-09-15 07:45:00,58,530,1013,783,0
2019-09-15 08:00:00,47,615,903,636,0
2019-09-15 08:15:00,46,526,1110,903,0
2019-09-15 08:30:00,37,596,1079,1087,0
2019-09-15 08:45:00,50,626,1174,952,0
2019-09-15 09:00:00,56,618,1299,868,0
2019-09-15 09:15:00,63,658,1267,955,0
2019-09-15 09:30:00,73,649,1379,1023,0
2019-09-15 09:45:00,96,666,1498,1150,0
2019-09-16 07:00:00,168,353,2127,2183,0
2019-09-16 07:15:00,142,425,2163,2368,0
2019-09-16 07:30:00,105,451,2044,2430,0
2019-09-16 07:45:00,169,590,2281,2225,0
2019-09-16 08:00:00,163,575,2421,2129,0
2019-09-16 08:15:00,185,496,2134,2060,0
2019-09-16 08:30:00,173,444,2033,1910,0
2019-09-16 08:45:00,236,307,1891,1800,0
2019-09-16 09:00:00,190,273,2023,1681,0
2019-09-16 09:15:00,150,314,1922,1581,0
2019-09-16 09:30:00,145,332,1978,1280,0
2019-09-16 09:45:00,142,335,1894,1278,0
2019-09-17 07:00:00,0,739,2416,2276,0
2019-09-17 07:15:00,0,731,2522,2407,0
2019-09-17 07:30:00,0,919,2539,2483,0
2019-09-17 07:45:00,0,981,2616,2449,0
2019-09-17 08:00:00,0,963,2293,2224,0
2019-09-17 08:15:00,0,932,2227,2149,0
2019-09-17 08:30:00,0,856,2372,2032,0
2019-09-17 08:45:00,0,877,2203,2033,0
2019-09-17 09:00:00,0,804,2072,1809,0
2019-09-17 09:15:00,0,784,2061,1533,0
2019-09-17 09:30:00,0,668,2278,1389,0
2019-09-17 09:45:00,0,733,2161,1288,0
2019-09-18 07:00:00,0,261,2441,2038,570
2019-09-18 07:15:00,0,246,2533,2452,579
2019-09-18 07:30:00,0,313,2706,2407,484
2019-09-18 07:45:00,0,305,2840,2129,508
2019-09-18 08:00:00,0,341,2754,2199,496
2019-09-18 08:15:00,0,321,2714,1951,509
2019-09-18 08:30:00,0,323,2647,1947,496
2019-09-18 08:45:00,0,363,2480,1805,543
2019-09-18 09:00:00,0,337,2551,1681,638
2019-09-18 09:15:00,0,332,2439,1516,666
2019-09-18 09:30:00,0,283,2450,1331,803
2019-09-18 09:45:00,0,312,2444,1277,749
2019-09-19 07:00:00,0,284,2323,2271,624
2019-09-19 07:15:00,0,265,2543,2370,505
2019-09-19 07:30:00,0,300,2738,2635,488
2019-09-19 07:45:00,0,302,2689,2343,506
2019-09-19 08:00:00,0,324,2808,2184,493
2019-09-19 08:15:00,0,338,2735,2095,466
2019-09-19 08:30:00,0,287,2424,2130,631
2019-09-19 08:45:00,0,308,2400,1888,615
2019-09-19 09:00:00,0,339,2559,1681,635
2019-09-19 09:15:00,0,338,2389,1495,622
2019-09-19 09:30:00,0,342,2365,1425,728
