"time","man","bro","brx","qns","si"
2019-09-10 17:00:00,178,1617,2527,2101,0
2019-09-10 17:15:00,161,1702,2578,2122,0
2019-09-10 17:30:00,143,1702,2506,2293,0
2019-09-10 17:45:00,128,1717,2435,1937,0
2019-09-10 18:00:00,176,1778,2432,1889,0
2019-09-10 18:15:00,193,1516,2326,1928,0
2019-09-10 18:30:00,196,1658,2129,1858,0
2019-09-10 18:45:00,162,1543,2109,1574,0
2019-09-10 19:00:00,149,1374,2006,1630,0
2019-09-10 19:15:00,128,1393,1924,1456,0
2019-09-10 19:30:00,124,1296,1844,1398,0
2019-09-10 19:45:00,104,1285,1781,1228,0
2019-09-11 17:00:00,153,3196,2632,2057,0
2019-09-11 17:15:00,126,3136,2654,2011,0
2019-09-11 17:30:00,144,2971,2724,1979,0
2019-09-11 17:45:00,169,2770,2735,1980,0
2019-09-11 18:00:00,154,2740,2408,1852,0
2019-09-11 18:15:00,117,2595,2360,1752,0
2019-09-11 18:30:00,161,2750,2277,1888,0
2019-09-11 18:45:00,164,2390,2374,2019,0
2019-09-11 19:00:00,136,2352,2280,1828,0
2019-09-11 19:15:00,150,2313,2125,1513,0
2019-09-11 19:30:00,133,2261,2191,1383,0
2019-09-11 19:45:00,166,2122,2118,1330,0
2019-09-12 17:00:00,131,3006,2829,1993,0
2019-09-12 17:15:00,127,2967,2868,2093,0
2019-09-12 17:30:00,136,2943,3045,2124,0
2019-09-12 17:45:00,129,2740,2951,1956,0
2019-09-12 18:00:00,130,2831,2731,1878,0
2019-09-12 18:15:00,167,2773,2846,1719,0
2019-09-12 18:30:00,129,2671,2591,1655,0
2019-09-12 18:45:00,137,2460,2519,1622,0
2019-09-12 19:00:00,117,2558,2381,1490,0
2019-09-12 19:15:00,117,2406,2218,1520,0
2019-09-12 19:30:00,162,2323,2170,1797,0
2019-09-12 19:45:00,135,2366,2142,1479,0
2019-09-13 17:00:00,148,2948,2849,2137,0
2019-09-13 17:15:00,146,2681,3207,2113,0
2019-09-13 17:30:00,165,2675,3220,1961,0
2019-09-13 17:45:00,162,2902,3087,2010,0
