"CAMIS","GRADE","BORO","grade"
30075445,"A","Bronx","A"
30112340,"B","Brooklyn","B"
30191841,"A","Manhattan","A"
40356018,"A","Brooklyn","A"
40356483,"A","Brooklyn","A"
40356731,"A","Brooklyn","A"
40357217,"A","Bronx","A"
40359480,"A","Manhattan","A"
40359705,"A","Brooklyn","A"
40360045,"A","Brooklyn","A"
40360076,"A","Brooklyn","A"
40361618,"A","Queens","A"
40361998,"A","Queens","A"
40362264,"A","Manhattan","A"
40362274,"A","Manhattan","A"
40362432,"A","Queens","A"
40362869,"A","Brooklyn","A"
40363298,"A","Manhattan","A"
40363427,"A","Staten Island","A"
40363834,"A","Staten Island","A"
40363920,"A","Brooklyn","A"
40364179,"B","Manhattan","B"
40364220,"A","Brooklyn","A"
40364296,"A","Bronx","A"
40364305,"A","Brooklyn","A"
40364335,"A","Brooklyn","A"
40364347,"A","Manhattan","A"
40364373,"A","Manhattan","A"
40364389,"A","Manhattan","A"
40364404,"A","Brooklyn","A"
40364439,"B","Manhattan","B"
40364443,"C","Manhattan","C"
40364449,"A","Queens","A"
40364467,"A","Manhattan","A"
40364518,"A","Manhattan","A"
40364531,"A","Manhattan","A"
40364572,"A","Manhattan","A"
40364581,"A","Brooklyn","A"
40364668,"A","Manhattan","A"
40364715,"A","Manhattan","A"
40364744,"A","Queens","A"
40364858,"A","Queens","A"
40364956,"A","Bronx","A"
40365013,"A","Staten Island","A"
40365075,"A","Manhattan","A"
40365120,"A","Staten Island","A"
40365166,"A","Manhattan","A"
40365226,"A","Brooklyn","A"
40365239,"A","Manhattan","A"
40365264,"A","Manhattan","A"
40365288,"A","Manhattan","A"
40365387,"A","Manhattan","A"
40365499,"A","Bronx","A"
40365525,"A","Manhattan","A"
40365546,"B","Brooklyn","B"
40365577,"A","Manhattan","A"
40365627,"B","Queens","B"
40365632,"A","Brooklyn","A"
40365644,"A","Manhattan","A"
40365726,"A","Manhattan","A"
40365784,"A","Brooklyn","A"
40365789,"Z","Manhattan","OTHER"
40365841,"A","Queens","A"
40365844,"A","Queens","A"
40365871,"A","Manhattan","A"
40365882,"A","Manhattan","A"
40365904,"C","Manhattan","C"
40365938,"Z","Queens","OTHER"
40365942,"Z","Manhattan","OTHER"
40365968,"A","Manhattan","A"
40365972,"A","Queens","A"
40366002,"A","Queens","A"
40366054,"A","Queens","A"
40366109,"N","Brooklyn","OTHER"
40366132,"A","Staten Island","A"
40366154,"B","Brooklyn","B"
40366222,"A","Manhattan","A"
40366230,"C","Queens","C"
40366356,"B","Queens","B"
40366471,"A","Brooklyn","A"
40366473,"A","Manhattan","A"
40366487,"A","Brooklyn","A"
40366497,"A","Bronx","A"
40366543,"A","Queens","A"
40366574,"A","Manhattan","A"
40366586,"A","Queens","A"
40366652,"A","Brooklyn","A"
40366661,"B","Manhattan","B"
40366711,"B","Staten Island","B"
40366716,"A","Manhattan","A"
40366742,"C","Brooklyn","C"
40366812,"A","Queens","A"
40366879,"A","Queens","A"
40366928,"A","Staten Island","A"
40366938,"C","Bronx","C"
40366961,"A","Brooklyn","A"
40367005,"A","Brooklyn","A"
40367038,"A","Manhattan","A"
40367161,"A","Bronx","A"
40367179,"A","Manhattan","A"
40367189,"A","Manhattan","A"
40367232,"A","Queens","A"
40367240,"A","Queens","A"
40367241,"A","Manhattan","A"
40367338,"A","Manhattan","A"
40367339,"A","Manhattan","A"
40367365,"A","Manhattan","A"
40367373,"A","Manhattan","A"
40367377,"A","Queens","A"
40367442,"A","Staten Island","A"
40367534,"A","Manhattan","A"
40367728,"A","Manhattan","A"
40367749,"A","Queens","A"
40367752,"A","Manhattan","A"
40367789,"A","Queens","A"
40367790,"A","Brooklyn","A"
40367841,"A","Manhattan","A"
40367860,"A","Brooklyn","A"
40367870,"A","Queens","A"
