"CAMIS","GRADE","BORO","grade"
40368018,"A","Bronx","A"
40368021,"A","Bronx","A"
40368022,"A","Bronx","A"
40368025,"A","Bronx","A"
40368026,"A","Bronx","A"
40368034,"A","Staten Island","A"
40368157,"A","Manhattan","A"
40368207,"A","Brooklyn","A"
40368223,"A","Manhattan","A"
40368271,"A","Manhattan","A"
40368291,"A","Staten Island","A"
40368313,"A","Manhattan","A"
40368318,"A","Manhattan","A"
40368338,"A","Manhattan","A"
40368374,"A","Manhattan","A"
40368526,"A","Brooklyn","A"
40368555,"B","Manhattan","B"
40368577,"A","Brooklyn","A"
40368581,"A","Manhattan","A"
40368632,"A","Brooklyn","A"
40368725,"A","Manhattan","A"
40368752,"A","Manhattan","A"
40368763,"A","Manhattan","A"
40368801,"A","Queens","A"
40368809,"A","Queens","A"
40368824,"A","Manhattan","A"
40368897,"A","Manhattan","A"
40369012,"A","Queens","A"
40369016,"A","Manhattan","A"
40369051,"A","Queens","A"
40369087,"B","Bronx","B"
40369158,"A","Staten Island","A"
40369165,"N","Manhattan","OTHER"
40369213,"B","Queens","B"
40369262,"A","Queens","A"
40369299,"A","Bronx","A"
40369418,"A","Manhattan","A"
40369461,"C","Manhattan","C"
40369482,"A","Brooklyn","A"
40369521,"A","Manhattan","A"
40369608,"A","Brooklyn","A"
40369619,"A","Manhattan","A"
40369641,"A","Bronx","A"
40369667,"A","Brooklyn","A"
40369669,"A","Bronx","A"
40369675,"A","Queens","A"
40369716,"A","Brooklyn","A"
40369782,"A","Brooklyn","A"
40369849,"A","Queens","A"
40369878,"A","Manhattan","A"
40369958,"A","Manhattan","A"
40369983,"A","Queens","A"
40370015,"A","Brooklyn","A"
40370150,"A","Bronx","A"
40370167,"A","Queens","A"
40370168,"A","Manhattan","A"
40370238,"A","Queens","A"
40370436,"A","Manhattan","A"
40370463,"A","Manhattan","A"
40370507,"A","Manhattan","A"
40370766,"A","Manhattan","A"
40370781,"A","Queens","A"
40370856,"A","Manhattan","A"
40370939,"N","Queens","OTHER"
40371454,"A","Manhattan","A"
40371614,"A","Queens","A"
40371684,"A","Brooklyn","A"
40371718,"A","Manhattan","A"
40371727,"A","Brooklyn","A"
40371805,"A","Manhattan","A"
40371906,"A","Brooklyn","A"
40371988,"A","Queens","A"
40372112,"A","Brooklyn","A"
40372196,"A","Bronx","A"
40372262,"A","Manhattan","A"
40372357,"A","Staten Island","A"
40372417,"A","Manhattan","A"
40372422,"A","Queens","A"
40372426,"Z","Queens","OTHER"
40372445,"B","Queens","B"
40372466,"A","Manhattan","A"
40372485,"A","Brooklyn","A"
40372596,"A","Brooklyn","A"
40372618,"A","Queens","A"
40372631,"A","Bronx","A"
40372694,"A","Queens","A"
40372971,"A","Manhattan","A"
40373113,"A","Manhattan","A"
40373118,"A","Staten Island","A"
40373160,"A","Brooklyn","A"
40373462,"A","Manhattan","A"
40373500,"A","Manhattan","A"
40373597,"A","Brooklyn","A"
40373656,"A","Manhattan","A"
40373669,"A","Manhattan","A"
40373888,"A","Manhattan","A"
40373909,"A","Brooklyn","A"
40373912,"A","Manhattan","A"
40373937,"A","Manhattan","A"
40374088,"A","Manhattan","A"
40374136,"A","Bronx","A"
40374192,"A","Manhattan","A"
40374266,"A","Manhattan","A"
40374277,"A","Manhattan","A"
40374395,"A","Brooklyn","A"
40374415,"A","Manhattan","A"
40374711,"A","Manhattan","A"
40374834,"A","Manhattan","A"
40374974,"A","Manhattan","A"
40375108,"A","Brooklyn","A"
40375286,"A","Queens","A"
40375369,"A","Queens","A"
40375616,"A","Manhattan","A"
40375699,"A","Manhattan","A"
40375839,"A","Manhattan","A"
40375929,"A","Brooklyn","A"
40376077,"A","Queens","A"
40376142,"A","Manhattan","A"
40376204,"A","Queens","A"
40376290,"A","Staten Island","A"
40376352,"A","Manhattan","A"
40376493,"A","Manhattan","A"
40376495,"A","Brooklyn","A"
40376496,"A","Manhattan","A"
40376515,"A","Manhattan","A"
40376583,"A","Staten Island","A"
40376635,"A","Brooklyn","A"
40376718,"A","Manhattan","A"
40376735,"A","Manhattan","A"
40376944,"C","Manhattan","C"
40377124,"N","Bronx","OTHER"
40377243,"C","Bronx","C"
40377262,"A","Staten Island","A"
40377294,"A","Queens","A"
40377325,"A","Manhattan","A"
40377385,"A","Queens","A"
40377506,"A","Brooklyn","A"
40377560,"A","Queens","A"
40377630,"A","Manhattan","A"
40377789,"A","Manhattan","A"
40378035,"A","Queens","A"
40378136,"A","Manhattan","A"
40378190,"A","Queens","A"
40378212,"A","Manhattan","A"
40378571,"A","Manhattan","A"
40378579,"A","Manhattan","A"
40378822,"A","Staten Island","A"
40378827,"A","Brooklyn","A"
40378874,"A","Manhattan","A"
40379026,"B","Queens","B"
40379149,"B","Manhattan","B"
40379566,"B","Queens","B"
40379573,"A","Bronx","A"
40379580,"C","Manhattan","C"
40379628,"A","Manhattan","A"
40379662,"A","Manhattan","A"
40379746,"A","Manhattan","A"
40379890,"Z","Manhattan","OTHER"
40379920,"A","Manhattan","A"
40380164,"A","Bronx","A"
40380182,"A","Manhattan","A"
40380253,"A","Bronx","A"
40380422,"A","Queens","A"
40380432,"A","Manhattan","A"
40380457,"B","Manhattan","B"
40380464,"A","Brooklyn","A"
40380517,"A","Manhattan","A"
40380520,"A","Queens","A"
40380592,"A","Brooklyn","A"
40380628,"A","Queens","A"
40380657,"A","Brooklyn","A"
40380660,"A","Manhattan","A"
40380826,"A","Manhattan","A"
40380996,"A","Brooklyn","A"
40381210,"A","Manhattan","A"
40381420,"B","Manhattan","B"
40381551,"A","Brooklyn","A"
40381595,"A","Manhattan","A"
40381720,"A","Manhattan","A"
40382052,"A","Staten Island","A"
40382057,"A","Brooklyn","A"
40382652,"A","Bronx","A"
40382802,"A","Manhattan","A"
40383003,"A","Queens","A"
40383033,"A","Brooklyn","A"
40383044,"A","Brooklyn","A"
40383067,"A","Manhattan","A"
40383147,"N","Queens","OTHER"
40383281,"A","Queens","A"
40383284,"A","Queens","A"
40383464,"A","Manhattan","A"
40383496,"A","Manhattan","A"
40383511,"A","Manhattan","A"
40383609,"A","Staten Island","A"
40383737,"A","Staten Island","A"
40383763,"A","Brooklyn","A"
40383819,"A","Bronx","A"
40383825,"B","Manhattan","B"
40383945,"A","Staten Island","A"
40384036,"A","Brooklyn","A"
40384188,"A","Manhattan","A"
40384340,"A","Manhattan","A"
40384458,"A","Queens","A"
40384507,"A","Brooklyn","A"
40384528,"Z","Manhattan","OTHER"
40384575,"A","Brooklyn","A"
40384662,"A","Brooklyn","A"
40384671,"Z","Manhattan","OTHER"
40384920,"A","Queens","A"
40385057,"A","Brooklyn","A"
40385157,"A","Manhattan","A"
40385161,"A","Manhattan","A"
40385461,"A","Manhattan","A"
40385580,"A","Manhattan","A"
40385584,"A","Queens","A"
40385587,"A","Manhattan","A"
40385680,"A","Bronx","A"
40385693,"A","Manhattan","A"
40385774,"A","Brooklyn","A"
40385852,"A","Manhattan","A"
40385873,"A","Manhattan","A"
40385885,"A","Brooklyn","A"
40385955,"A","Bronx","A"
40386001,"A","Manhattan","A"
40386058,"A","Staten Island","A"
40386067,"A","Staten Island","A"
40386147,"A","Queens","A"
40386278,"A","Bronx","A"
40386303,"A","Brooklyn","A"
40386340,"A","Manhattan","A"
40386425,"A","Queens","A"
40386528,"A","Queens","A"
40386556,"A","Manhattan","A"
40386569,"A","Manhattan","A"
40386570,"A","Manhattan","A"
40386612,"A","Queens","A"
40386619,"A","Manhattan","A"
40386646,"A","Manhattan","A"
40386672,"B","Bronx","B"
40386675,"A","Queens","A"
40386722,"A","Queens","A"
40386747,"A","Manhattan","A"
40386837,"A","Brooklyn","A"
40386976,"A","Manhattan","A"
40386999,"A","Manhattan","A"
40387027,"A","Queens","A"
40387143,"A","Bronx","A"
40387162,"N","Manhattan","OTHER"
40387178,"A","Bronx","A"
40387243,"Z","Staten Island","OTHER"
40387277,"N","Manhattan","OTHER"
40387399,"A","Bronx","A"
40387418,"A","Manhattan","A"
40387528,"A","Bronx","A"
40387754,"A","Manhattan","A"
40387825,"B","Brooklyn","B"
40387861,"A","Manhattan","A"
40388091,"A","Manhattan","A"
40388194,"A","Manhattan","A"
40388218,"A","Manhattan","A"
40388253,"A","Bronx","A"
40388260,"A","Brooklyn","A"
40388269,"A","Bronx","A"
40388321,"B","Manhattan","B"
40388419,"C","Manhattan","C"
40388578,"A","Manhattan","A"
40388639,"A","Queens","A"
40388640,"A","Manhattan","A"
40388668,"A","Brooklyn","A"
40388672,"A","Manhattan","A"
40388784,"A","Manhattan","A"
40388787,"A","Manhattan","A"
40388818,"A","Manhattan","A"
40388823,"A","Brooklyn","A"
40388828,"A","Manhattan","A"
40388901,"A","Manhattan","A"
40388935,"A","Manhattan","A"
40389114,"A","Manhattan","A"
40389138,"A","Manhattan","A"
40389175,"A","Brooklyn","A"
40389243,"A","Manhattan","A"
40389356,"C","Manhattan","C"
40389455,"B","Manhattan","B"
40389504,"C","Manhattan","C"
40389681,"A","Staten Island","A"
40389701,"A","Queens","A"
40389732,"A","Brooklyn","A"
40389807,"A","Manhattan","A"
40389819,"A","Queens","A"
40389881,"A","Queens","A"
40390163,"A","Queens","A"
40390241,"A","Queens","A"
40390266,"A","Bronx","A"
40390409,"A","Manhattan","A"
40390536,"A","Staten Island","A"
40390696,"A","Manhattan","A"
40390729,"A","Brooklyn","A"
40390758,"A","Queens","A"
40390850,"A","Staten Island","A"
40390973,"A","Queens","A"
40391002,"Z","Manhattan","OTHER"
40391032,"A","Queens","A"
40391060,"P","Manhattan","OTHER"
40391086,"A","Staten Island","A"
40391092,"A","Manhattan","A"
40391121,"A","Manhattan","A"
40391143,"A","Manhattan","A"
40391154,"A","Manhattan","A"
40391205,"A","Brooklyn","A"
40391259,"A","Queens","A"
40391272,"A","Manhattan","A"
40391284,"A","Manhattan","A"
40391304,"A","Brooklyn","A"
40391339,"A","Manhattan","A"
40391350,"A","Queens","A"
40391383,"A","Queens","A"
40391498,"A","Queens","A"
40391531,"A","Manhattan","A"
40391639,"A","Bronx","A"
40391695,"A","Manhattan","A"
40391699,"B","Manhattan","B"
40391808,"A","Queens","A"
40391824,"A","Staten Island","A"
40391857,"N","Staten Island","OTHER"
40391913,"A","Manhattan","A"
40391979,"Z","Manhattan","OTHER"
40392063,"A","Manhattan","A"
40392140,"A","Staten Island","A"
40392256,"A","Queens","A"
40392313,"A","Staten Island","A"
40392339,"B","Manhattan","B"
40392384,"A","Queens","A"
40392388,"A","Manhattan","A"
40392410,"A","Queens","A"
40392496,"A","Manhattan","A"
40392668,"A","Manhattan","A"
40392724,"B","Manhattan","B"
40392766,"A","Brooklyn","A"
40392834,"B","Manhattan","B"
40392872,"A","Manhattan","A"
40392939,"A","Queens","A"
40393044,"C","Manhattan","C"
40393051,"A","Queens","A"
40393093,"B","Queens","B"
40393118,"A","Manhattan","A"
40393154,"A","Manhattan","A"
40393243,"A","Brooklyn","A"
40393378,"A","Manhattan","A"
40393395,"A","Queens","A"
40393413,"A","Brooklyn","A"
40393427,"A","Manhattan","A"
40393519,"A","Manhattan","A"
40393558,"A","Manhattan","A"
40393561,"A","Brooklyn","A"
40393563,"A","Bronx","A"
40393570,"Z","Manhattan","OTHER"
40393591,"A","Manhattan","A"
40393688,"A","Bronx","A"
40393712,"A","Manhattan","A"
40393725,"N","Manhattan","OTHER"
40393753,"A","Queens","A"
40393761,"A","Manhattan","A"
40393772,"A","Manhattan","A"
40393787,"A","Queens","A"
40393832,"A","Queens","A"
40393905,"A","Queens","A"
40393977,"A","Brooklyn","A"
40393985,"A","Queens","A"
40394007,"A","Manhattan","A"
40394028,"A","Brooklyn","A"
40394030,"A","Bronx","A"
40394037,"A","Queens","A"
40394068,"A","Queens","A"
40394110,"A","Queens","A"
40394176,"A","Manhattan","A"
40394207,"A","Manhattan","A"
40394258,"A","Brooklyn","A"
40394392,"A","Manhattan","A"
40394401,"A","Manhattan","A"
40394518,"A","Queens","A"
40394555,"A","Queens","A"
40394560,"N","Manhattan","OTHER"
40394600,"A","Queens","A"
40394701,"A","Queens","A"
40394761,"A","Bronx","A"
40394762,"A","Manhattan","A"
40394770,"A","Bronx","A"
40394838,"Z","Bronx","OTHER"
40394916,"A","Brooklyn","A"
40394962,"A","Queens","A"
40395055,"A","Manhattan","A"
40395079,"A","Manhattan","A"
40395087,"A","Queens","A"
40395110,"Z","Queens","OTHER"
40395122,"A","Manhattan","A"
40395211,"A","Manhattan","A"
40395218,"A","Queens","A"
40395239,"A","Queens","A"
40395298,"A","Queens","A"
40395310,"A","Queens","A"
40395343,"A","Manhattan","A"
40395366,"A","Brooklyn","A"
40395375,"A","Queens","A"
40395480,"A","Queens","A"
40395511,"A","Bronx","A"
40395516,"A","Queens","A"
40395525,"A","Brooklyn","A"
40395554,"A","Staten Island","A"
40395568,"Z","Brooklyn","OTHER"
40395597,"C","Queens","C"
40395653,"A","Bronx","A"
40395723,"A","Manhattan","A"
40395774,"A","Brooklyn","A"
40395826,"Z","Brooklyn","OTHER"
40395858,"A","Queens","A"
40395865,"A","Brooklyn","A"
40395872,"A","Manhattan","A"
40395882,"A","Queens","A"
40395892,"A","Manhattan","A"
40395906,"A","Queens","A"
40395910,"A","Queens","A"
40395921,"B","Bronx","B"
40395992,"A","Bronx","A"
40396020,"A","Manhattan","A"
40396037,"Z","Manhattan","OTHER"
40396159,"A","Manhattan","A"
40396183,"A","Manhattan","A"
40396231,"A","Manhattan","A"
40396264,"A","Manhattan","A"
40396381,"B","Manhattan","B"
40396399,"A","Bronx","A"
40396421,"A","Manhattan","A"
40396433,"A","Brooklyn","A"
40396445,"A","Queens","A"
40396464,"A","Manhattan","A"
40396488,"N","Manhattan","OTHER"
40396492,"A","Brooklyn","A"
40396496,"A","Brooklyn","A"
40396521,"A","Queens","A"
40396532,"A","Manhattan","A"
40396548,"A","Bronx","A"
40396574,"A","Manhattan","A"
40396622,"B","Manhattan","B"
40396769,"A","Queens","A"
40396892,"A","Queens","A"
40396906,"A","Manhattan","A"
40396927,"A","Manhattan","A"
40397116,"A","Manhattan","A"
40397189,"A","Manhattan","A"
40397219,"A","Bronx","A"
40397305,"A","Brooklyn","A"
40397335,"A","Brooklyn","A"
40397359,"A","Manhattan","A"
40397439,"A","Queens","A"
40397458,"A","Queens","A"
40397486,"A","Manhattan","A"
40397492,"A","Manhattan","A"
40397574,"A","Bronx","A"
40397625,"A","Brooklyn","A"
40397626,"A","Brooklyn","A"
40397642,"A","Brooklyn","A"
40397676,"A","Manhattan","A"
40397700,"A","Manhattan","A"
40397723,"A","Staten Island","A"
40397725,"A","Brooklyn","A"
40397763,"A","Queens","A"
40397780,"A","Manhattan","A"
40397791,"A","Manhattan","A"
40397797,"A","Manhattan","A"
40397810,"A","Queens","A"
40397886,"A","Manhattan","A"
40398045,"A","Manhattan","A"
40398125,"A","Brooklyn","A"
40398138,"A","Queens","A"
40398306,"A","Manhattan","A"
40398367,"A","Queens","A"
40398434,"A","Manhattan","A"
40398440,"A","Queens","A"
40398532,"Z","Brooklyn","OTHER"
40398549,"A","Brooklyn","A"
40398561,"A","Manhattan","A"
40398586,"A","Manhattan","A"
40398688,"C","Brooklyn","C"
40398689,"A","Queens","A"
40398690,"A","Manhattan","A"
40398700,"A","Queens","A"
40398795,"B","Queens","B"
40398811,"A","Manhattan","A"
40398899,"P","Brooklyn","OTHER"
40398910,"A","Bronx","A"
40398989,"A","Manhattan","A"
40399099,"A","Manhattan","A"
40399174,"A","Manhattan","A"
40399279,"A","Manhattan","A"
40399329,"Z","Manhattan","OTHER"
40399340,"A","Brooklyn","A"
40399356,"A","Queens","A"
40399372,"A","Manhattan","A"
40399373,"A","Manhattan","A"
40399422,"A","Queens","A"
40399472,"A","Manhattan","A"
40399560,"A","Manhattan","A"
40399569,"A","Manhattan","A"
40399581,"A","Queens","A"
40399611,"A","Brooklyn","A"
40399620,"A","Manhattan","A"
40399729,"A","Queens","A"
40399739,"A","Queens","A"
40399751,"A","Brooklyn","A"
40399770,"A","Brooklyn","A"
40399778,"A","Bronx","A"
40399787,"A","Manhattan","A"
40399817,"A","Manhattan","A"
40399834,"A","Manhattan","A"
40399852,"A","Manhattan","A"
40399867,"A","Manhattan","A"
40399886,"A","Queens","A"
40399911,"A","Brooklyn","A"
40399922,"A","Manhattan","A"
40399955,"A","Brooklyn","A"
40399986,"A","Brooklyn","A"
40400021,"A","Queens","A"
40400039,"Z","Manhattan","OTHER"
40400149,"Z","Brooklyn","OTHER"
40400155,"A","Manhattan","A"
40400198,"A","Queens","A"
40400204,"A","Manhattan","A"
40400209,"A","Brooklyn","A"
40400429,"A","Queens","A"
40400453,"A","Manhattan","A"
40400473,"A","Manhattan","A"
40400483,"A","Manhattan","A"
40400492,"A","Queens","A"
40400539,"A","Queens","A"
40400544,"C","Brooklyn","C"
40400561,"A","Brooklyn","A"
40400610,"B","Manhattan","B"
40400686,"C","Manhattan","C"
40400702,"A","Manhattan","A"
40400710,"B","Manhattan","B"
40400739,"A","Manhattan","A"
40400754,"A","Manhattan","A"
40400799,"A","Bronx","A"
40400810,"A","Manhattan","A"
40400898,"A","Staten Island","A"
40400962,"A","Manhattan","A"
40400976,"A","Manhattan","A"
40401000,"A","Manhattan","A"
40401025,"A","Manhattan","A"
40401060,"A","Brooklyn","A"
40401066,"A","Manhattan","A"
40401084,"A","Queens","A"
40401093,"A","Manhattan","A"
40401104,"A","Manhattan","A"
40401160,"A","Manhattan","A"
40401173,"A","Manhattan","A"
40401224,"A","Brooklyn","A"
40401247,"A","Brooklyn","A"
40401422,"A","Manhattan","A"
40401445,"A","Brooklyn","A"
40401453,"A","Manhattan","A"
40401506,"A","Brooklyn","A"
40401742,"A","Queens","A"
40401821,"A","Manhattan","A"
40401834,"B","Manhattan","B"
40401841,"C","Manhattan","C"
40401887,"A","Queens","A"
40401895,"A","Manhattan","A"
40401912,"A","Manhattan","A"
40401934,"A","Manhattan","A"
40401971,"A","Manhattan","A"
40402007,"A","Queens","A"
40402023,"A","Manhattan","A"
40402026,"A","Manhattan","A"
40402089,"N","Brooklyn","OTHER"
40402102,"A","Queens","A"
40402172,"A","Manhattan","A"
40402222,"A","Staten Island","A"
40402231,"A","Manhattan","A"
40402238,"A","Brooklyn","A"
40402266,"B","Queens","B"
40402333,"A","Queens","A"
40402337,"B","Queens","B"
40402362,"B","Manhattan","B"
40402365,"A","Manhattan","A"
40402368,"A","Manhattan","A"
40402369,"A","Manhattan","A"
40402375,"A","Manhattan","A"
40402376,"A","Manhattan","A"
40402377,"A","Manhattan","A"
40402393,"A","Manhattan","A"
40402397,"A","Manhattan","A"
40402398,"A","Manhattan","A"
40402407,"A","Manhattan","A"
40402418,"A","Manhattan","A"
40402423,"A","Manhattan","A"
40402424,"A","Manhattan","A"
40402465,"A","Manhattan","A"
40402466,"A","Manhattan","A"
40402527,"A","Manhattan","A"
40402610,"A","Manhattan","A"
40402699,"A","Bronx","A"
40402717,"A","Manhattan","A"
40402742,"A","Staten Island","A"
40402755,"A","Manhattan","A"
40402756,"A","Manhattan","A"
40402785,"A","Manhattan","A"
40402788,"A","Manhattan","A"
40402893,"A","Manhattan","A"
40402899,"A","Brooklyn","A"
40403419,"A","Queens","A"
40403579,"A","Manhattan","A"
40403586,"A","Manhattan","A"
40403721,"A","Manhattan","A"
40403768,"A","Manhattan","A"
40403822,"A","Queens","A"
40403830,"A","Brooklyn","A"
40403857,"A","Queens","A"
40404017,"A","Manhattan","A"
40404024,"A","Manhattan","A"
40404080,"A","Manhattan","A"
40423364,"A","Staten Island","A"
40423403,"A","Manhattan","A"
40423440,"C","Staten Island","C"
40423481,"A","Bronx","A"
40423510,"A","Brooklyn","A"
40423563,"A","Brooklyn","A"
40423571,"A","Bronx","A"
40423654,"A","Manhattan","A"
40423705,"A","Manhattan","A"
40423819,"Z","Staten Island","OTHER"
40423830,"B","Bronx","B"
40423976,"A","Queens","A"
40424247,"A","Queens","A"
40424337,"Z","Manhattan","OTHER"
40424410,"A","Brooklyn","A"
40424437,"A","Manhattan","A"
40424488,"A","Staten Island","A"
40424515,"A","Queens","A"
40424633,"Z","Manhattan","OTHER"
40424709,"A","Staten Island","A"
40424723,"A","Queens","A"
40424765,"B","Bronx","B"
40424780,"A","Manhattan","A"
40424894,"A","Manhattan","A"
40424933,"A","Manhattan","A"
40425000,"A","Queens","A"
40425021,"P","Brooklyn","OTHER"
40425029,"A","Brooklyn","A"
40425060,"A","Queens","A"
40425131,"A","Queens","A"
40425143,"A","Queens","A"
40482586,"A","Manhattan","A"
40482591,"A","Manhattan","A"
40482592,"A","Manhattan","A"
40482593,"A","Manhattan","A"
40482596,"A","Manhattan","A"
40482597,"A","Manhattan","A"
40482598,"A","Manhattan","A"
40482599,"A","Manhattan","A"
40482600,"A","Manhattan","A"
40483195,"A","Manhattan","A"
40483540,"A","Manhattan","A"
40483596,"A","Manhattan","A"
40483597,"A","Manhattan","A"
40483602,"A","Manhattan","A"
40483694,"A","Manhattan","A"
40483695,"A","Manhattan","A"
40483696,"A","Manhattan","A"
40483697,"A","Manhattan","A"
40483729,"A","Manhattan","A"
40510286,"A","Queens","A"
40510293,"A","Manhattan","A"
40510335,"A","Manhattan","A"
40510341,"A","Manhattan","A"
40510389,"A","Manhattan","A"
40510439,"A","Manhattan","A"
40510605,"B","Manhattan","B"
40510647,"A","Queens","A"
40510804,"A","Staten Island","A"
40510827,"A","Manhattan","A"
40511696,"A","Queens","A"
40511771,"A","Manhattan","A"
40511904,"A","Brooklyn","A"
40512002,"A","Manhattan","A"
40512074,"A","Staten Island","A"
40512087,"A","Queens","A"
40512172,"A","Queens","A"
40512204,"A","Manhattan","A"
40512258,"A","Manhattan","A"
40512297,"A","Manhattan","A"
40512425,"A","Brooklyn","A"
40512445,"A","Manhattan","A"
40512520,"A","Manhattan","A"
40512610,"A","Bronx","A"
40512617,"A","Manhattan","A"
40512788,"A","Queens","A"
40512852,"A","Manhattan","A"
40512865,"A","Manhattan","A"
40513021,"A","Brooklyn","A"
40513031,"A","Manhattan","A"
40513133,"A","Brooklyn","A"
40513164,"A","Manhattan","A"
40513184,"A","Manhattan","A"
40513217,"A","Brooklyn","A"
40513414,"A","Manhattan","A"
40513416,"A","Staten Island","A"
40513609,"A","Manhattan","A"
40513633,"A","Manhattan","A"
40513662,"Z","Brooklyn","OTHER"
40513798,"A","Manhattan","A"
40514147,"A","Manhattan","A"
40515124,"A","Queens","A"
40515448,"A","Manhattan","A"
40515597,"Z","Manhattan","OTHER"
40515670,"A","Bronx","A"
40515675,"A","Bronx","A"
40515702,"A","Manhattan","A"
40516509,"A","Staten Island","A"
40516511,"A","Staten Island","A"
40517120,"A","Queens","A"
40520604,"A","Queens","A"
40520857,"A","Manhattan","A"
40521003,"A","Brooklyn","A"
40521343,"A","Staten Island","A"
40522190,"A","Manhattan","A"
40523865,"A","Manhattan","A"
40523972,"A","Manhattan","A"
40524836,"A","Manhattan","A"
40524837,"A","Bronx","A"
40524888,"A","Manhattan","A"
40525206,"C","Bronx","C"
40525767,"A","Bronx","A"
40526104,"A","Manhattan","A"
40526406,"A","Manhattan","A"
40528073,"A","Staten Island","A"
40528180,"A","Manhattan","A"
40528441,"A","Manhattan","A"
40529203,"A","Bronx","A"
40529979,"A","Queens","A"
40530159,"A","Manhattan","A"
40530583,"A","Manhattan","A"
40530630,"A","Bronx","A"
40530791,"A","Manhattan","A"
40532870,"A","Manhattan","A"
40533002,"A","Queens","A"
40533515,"A","Manhattan","A"
40534870,"A","Manhattan","A"
40534912,"A","Brooklyn","A"
40534973,"A","Queens","A"
40535136,"A","Brooklyn","A"
40535336,"A","Brooklyn","A"
40535383,"A","Queens","A"
40535399,"A","Manhattan","A"
40535467,"B","Manhattan","B"
40535659,"A","Brooklyn","A"
40535738,"A","Manhattan","A"
40536227,"A","Staten Island","A"
40536280,"A","Manhattan","A"
40536414,"B","Brooklyn","B"
40536534,"A","Queens","A"
40536591,"A","Staten Island","A"
