"A","B","C","OTHER","Ratios","Borough"
1661,180,60,326,0.745846430175124,"Bronx"
4771,397,158,810,0.777542372881356,"Brooklyn"
7262,489,202,1130,0.799515578553341,"Manhattan"
4319,360,154,696,0.781153915717128,"Queens"
739,53,11,98,0.820199778024417,"Staten Island"
